timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371172.7714756,1.280,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371173.9079103,2.417,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770371175.0443366,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770371176.8438993,1.800,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770371177.9430127,2.899,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1770371178.9804873,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1770371181.6474664,2.667,1-1-2 Combo,2,1,jab,jab,1,3,0,0,color_tracking,
1770371182.5746348,3.594,1-1-2 Combo,2,2,jab,jab,1,3,0,0,color_tracking,
1770371183.6808884,0.000,1-1-2 Combo,3,3,cross,cross,1,3,0,1,color_tracking,
