timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770370441.15845,2.171,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770370442.9239109,3.936,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770370443.799097,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770370445.9261696,2.127,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770370446.898167,3.099,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1770370447.8644173,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1770370450.700384,2.836,1-1-2 Combo,2,1,jab,jab,1,3,0,0,color_tracking,
1770370451.5992703,3.735,1-1-2 Combo,2,2,jab,jab,1,3,0,0,color_tracking,
1770370452.505503,0.000,1-1-2 Combo,3,3,cross,cross,1,3,0,1,color_tracking,
1770370454.3632812,1.858,1-1-2 Combo,3,1,jab,jab,1,3,0,0,color_tracking,
1770370455.2288857,2.723,1-1-2 Combo,3,2,jab,jab,1,3,0,0,color_tracking,
1770370456.155138,0.000,1-1-2 Combo,4,3,cross,cross,1,3,0,1,color_tracking,
1770370461.8415716,5.686,1-1-2 Combo,4,1,jab,jab,1,3,0,0,color_tracking,
1770370462.7005546,6.545,1-1-2 Combo,4,2,jab,jab,1,3,0,0,color_tracking,
1770370464.97295,0.000,1-1-2 Combo,5,3,cross,cross,1,3,0,1,color_tracking,
1770370466.404807,1.432,1-1-2 Combo,5,1,jab,jab,1,3,0,0,color_tracking,
1770370467.2690802,2.296,1-1-2 Combo,5,2,jab,jab,1,3,0,0,color_tracking,
1770370468.1746824,0.000,1-1-2 Combo,6,3,cross,cross,1,3,0,1,color_tracking,
