timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371798.886704,0.895,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371799.7860131,1.794,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770371800.0605671,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770371802.720776,2.660,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770371802.8887396,2.828,1-1-2 Combo,1,2,jab,cross,0,2,1,0,color_tracking,
1770371803.2895963,0.399,1-1-2 Combo,1,1,jab,cross,0,1,2,0,color_tracking,
1770371803.7213569,0.428,1-1-2 Combo,1,1,jab,cross,0,0,3,0,color_tracking,
