timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371373.4023778,0.922,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371374.3827457,1.903,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770371375.3106341,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770371375.7018132,0.391,1-1-2 Combo,1,1,jab,cross,0,2,1,0,color_tracking,
1770371377.0594735,1.357,1-1-2 Combo,1,1,jab,jab,1,2,1,0,color_tracking,
1770371378.0770779,2.374,1-1-2 Combo,1,2,jab,jab,1,2,1,0,color_tracking,
1770371378.8325589,0.000,1-1-2 Combo,2,3,cross,cross,1,2,1,1,color_tracking,
1770371379.225476,0.390,1-1-2 Combo,2,1,jab,cross,0,1,2,0,color_tracking,
1770371380.3793385,1.153,1-1-2 Combo,2,1,jab,jab,1,1,2,0,color_tracking,
1770371381.274656,2.048,1-1-2 Combo,2,2,jab,jab,1,1,2,0,color_tracking,
1770371382.1458852,0.000,1-1-2 Combo,3,3,cross,cross,1,1,2,1,color_tracking,
1770371383.4416506,1.296,1-1-2 Combo,3,1,jab,jab,1,1,2,0,color_tracking,
1770371384.3194172,2.174,1-1-2 Combo,3,2,jab,jab,1,1,2,0,color_tracking,
1770371384.6882992,2.542,1-1-2 Combo,3,3,cross,jab,0,0,3,0,color_tracking,
