timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770373432.2318485,1.238,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770373432.6571908,1.663,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770373433.0726426,2.079,1-1-2 Combo,0,3,cross,jab,0,2,1,0,color_tracking,
1770373433.4077659,0.333,1-1-2 Combo,0,1,jab,cross,0,1,2,0,color_tracking,
1770373437.155138,3.747,1-1-2 Combo,0,1,jab,jab,1,1,2,0,color_tracking,
1770373437.8399994,4.432,1-1-2 Combo,0,2,jab,jab,1,1,2,0,color_tracking,
1770373438.4377337,0.000,1-1-2 Combo,1,3,cross,cross,1,1,2,1,color_tracking,
1770373440.6044714,2.167,1-1-2 Combo,1,1,jab,jab,1,1,2,0,color_tracking,
1770373441.3231063,2.885,1-1-2 Combo,1,2,jab,jab,1,1,2,0,color_tracking,
1770373441.965632,0.000,1-1-2 Combo,2,3,cross,cross,1,1,2,1,color_tracking,
