timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770372130.9448714,0.984,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770372131.999338,2.039,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770372132.4378839,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770372134.2107058,1.773,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770372134.906161,2.468,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1770372135.2609832,2.823,1-1-2 Combo,1,3,cross,jab,0,2,1,0,color_tracking,
1770372135.353015,0.080,1-1-2 Combo,1,1,jab,cross,0,1,2,0,color_tracking,
1770372137.2430289,1.880,1-1-2 Combo,1,1,jab,jab,1,1,2,0,color_tracking,
1770372137.8504138,2.487,1-1-2 Combo,1,2,jab,jab,1,1,2,0,color_tracking,
1770372138.4308865,0.000,1-1-2 Combo,2,3,cross,cross,1,1,2,1,color_tracking,
1770372140.351971,1.921,1-1-2 Combo,2,1,jab,jab,1,1,2,0,color_tracking,
1770372141.081391,2.650,1-1-2 Combo,2,2,jab,jab,1,1,2,0,color_tracking,
1770372141.5166593,0.000,1-1-2 Combo,3,3,cross,cross,1,1,2,1,color_tracking,
1770372143.058852,1.542,1-1-2 Combo,3,1,jab,jab,1,1,2,0,color_tracking,
1770372143.7861843,2.269,1-1-2 Combo,3,2,jab,jab,1,1,2,0,color_tracking,
1770372144.267918,0.000,1-1-2 Combo,4,3,cross,cross,1,1,2,1,color_tracking,
