timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770373492.9121573,1.413,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770373493.5488987,2.050,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770373494.2453663,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770373495.6833308,1.438,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770373496.3804066,2.135,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1770373497.1196384,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1770373498.7509978,1.631,1-1-2 Combo,2,1,jab,jab,1,3,0,0,color_tracking,
1770373499.7199872,2.600,1-1-2 Combo,2,2,jab,jab,1,3,0,0,color_tracking,
1770373500.6193347,3.500,1-1-2 Combo,2,3,cross,jab,0,2,1,0,color_tracking,
