timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371774.4961047,1.003,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371775.2973993,1.805,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770371776.0685277,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1770371777.7372198,1.669,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1770371778.5370936,2.469,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1770371779.3370101,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1770371780.9702516,1.633,1-1-2 Combo,2,1,jab,jab,1,3,0,0,color_tracking,
1770371781.6728075,2.336,1-1-2 Combo,2,2,jab,jab,1,3,0,0,color_tracking,
1770371782.2677646,0.000,1-1-2 Combo,3,3,cross,cross,1,3,0,1,color_tracking,
1770371783.8764048,1.609,1-1-2 Combo,3,1,jab,jab,1,3,0,0,color_tracking,
1770371784.638634,2.371,1-1-2 Combo,3,2,jab,jab,1,3,0,0,color_tracking,
1770371785.2415166,0.000,1-1-2 Combo,4,3,cross,cross,1,3,0,1,color_tracking,
1770371787.011841,1.770,1-1-2 Combo,4,1,jab,jab,1,3,0,0,color_tracking,
1770371787.8064308,2.565,1-1-2 Combo,4,2,jab,jab,1,3,0,0,color_tracking,
1770371789.046904,0.000,1-1-2 Combo,5,3,cross,cross,1,3,0,1,color_tracking,
