timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371425.758445,3.772,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371426.2469246,4.260,1-1-2 Combo,0,2,jab,cross,0,2,1,0,color_tracking,
1770371467.6345868,41.377,1-1-2 Combo,0,1,jab,jab,1,2,1,0,color_tracking,
1770371472.806616,46.549,1-1-2 Combo,0,2,jab,jab,1,2,1,0,color_tracking,
1770371473.365872,47.108,1-1-2 Combo,0,3,cross,jab,0,1,2,0,color_tracking,
1770371478.4553647,5.089,1-1-2 Combo,0,1,jab,cross,0,0,3,0,color_tracking,
