user_id,session_timestamp,timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1,2026-02-07 17:52:59,1770457985.801115,3.412,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-07 17:52:59,1770457986.7981908,4.409,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-07 17:52:59,1770457987.7384284,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1,2026-02-07 17:52:59,1770457990.9039505,3.166,1-1-2 Combo,2,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-07 17:52:59,1770457991.8112772,4.073,1-1-2 Combo,2,2,jab,cross,0,2,1,0,color_tracking,
1,2026-02-08 11:36:31,1770521792.597989,1.256,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 11:36:31,1770521793.9335258,2.591,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 11:36:31,1770521794.7040741,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1,2026-02-08 11:36:31,1770521797.6085448,2.905,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 11:36:31,1770521800.3215296,5.618,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 11:36:31,1770521803.139889,0.000,1-1-2 Combo,2,3,cross,cross,1,3,0,1,color_tracking,
1,2026-02-08 12:13:48,1770524029.6680515,1.315,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:13:48,1770524031.1520343,2.797,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:13:48,1770524035.0934498,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1,2026-02-08 12:13:48,1770524038.1210515,3.028,1-1-2 Combo,1,1,jab,cross,0,2,1,0,color_tracking,
1,2026-02-08 12:13:48,1770524046.7445972,8.612,1-1-2 Combo,1,1,jab,cross,0,1,2,0,color_tracking,
1,2026-02-08 12:28:18,1770524900.1014276,1.255,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:28:18,1770524901.363658,2.517,1-1-2 Combo,0,2,jab,cross,0,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524903.9403,2.563,1-1-2 Combo,0,1,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524905.0651271,3.688,1-1-2 Combo,0,2,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524906.125914,0.000,1-1-2 Combo,1,3,cross,cross,1,2,1,1,color_tracking,
1,2026-02-08 12:28:18,1770524909.9718962,3.846,1-1-2 Combo,1,1,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524911.0317292,4.906,1-1-2 Combo,1,2,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524911.8399591,0.000,1-1-2 Combo,2,3,cross,cross,1,2,1,1,color_tracking,
1,2026-02-08 12:28:18,1770524914.5416875,2.702,1-1-2 Combo,2,1,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524916.2482612,4.408,1-1-2 Combo,2,2,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524917.1740155,0.000,1-1-2 Combo,3,3,cross,cross,1,2,1,1,color_tracking,
1,2026-02-08 12:28:18,1770524919.8349488,2.661,1-1-2 Combo,3,1,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:28:18,1770524920.9759762,3.802,1-1-2 Combo,3,2,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:32:19,1770525140.646881,1.233,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:32:19,1770525141.9397888,2.526,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:32:19,1770525142.8392074,0.000,1-1-2 Combo,1,3,cross,cross,1,3,0,1,color_tracking,
1,2026-02-08 12:32:19,1770525146.1065845,3.267,1-1-2 Combo,1,1,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:32:19,1770525147.2486503,4.409,1-1-2 Combo,1,2,jab,jab,1,3,0,0,color_tracking,
1,2026-02-08 12:32:19,1770525148.8726878,6.033,1-1-2 Combo,1,3,cross,jab,0,2,1,0,color_tracking,
1,2026-02-08 12:32:19,1770525154.1452339,5.272,1-1-2 Combo,1,1,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:32:19,1770525155.4505012,6.577,1-1-2 Combo,1,2,jab,jab,1,2,1,0,color_tracking,
1,2026-02-08 12:32:19,1770525156.4311662,0.000,1-1-2 Combo,2,3,cross,cross,1,2,1,1,color_tracking,
