timestamp_unix,elapsed_s,drill_name,iteration,step_index,expected_action,detected_action,correct,attempts_left,failures,combo_complete,source,confidence
1770371406.42908,0.937,1-1-2 Combo,0,1,jab,jab,1,3,0,0,color_tracking,
1770371407.3933125,1.901,1-1-2 Combo,0,2,jab,jab,1,3,0,0,color_tracking,
1770371407.8686638,2.377,1-1-2 Combo,0,3,cross,jab,0,2,1,0,color_tracking,
1770371408.169736,0.299,1-1-2 Combo,0,1,jab,cross,0,1,2,0,color_tracking,
1770371408.5680757,0.388,1-1-2 Combo,0,1,jab,cross,0,0,3,0,color_tracking,
